Dataset,SettlementDate,SettlementPeriod,Time,Rate1,Elbow2,Rate2,Elbow3,Rate3,NationalGridBmUnit,BmUnit
RURI,2026-03-17,23,2026-03-17T11:05:00Z,999.0,,,,,AG-FLX06M,V__MFLEX001
RURI,2026-03-15,8,2026-03-15T03:57:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-03-15,8,2026-03-15T03:35:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-03-15,8,2026-03-15T03:33:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-03-13,9,2026-03-13T04:04:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-03-13,8,2026-03-13T03:50:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-03-23,31,2026-03-23T15:29:00Z,2.0,,,,,AG-GBL0EN,V__NGBLO014
RURI,2026-03-23,30,2026-03-23T14:32:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-03-23,30,2026-03-23T14:31:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-03-23,27,2026-03-23T13:14:00Z,2.0,-2.0,0.2,-1.0,0.2,AG-GBL0CE,V__EGBLO012
RURI,2026-03-23,27,2026-03-23T13:11:00Z,1.0,-2.0,0.2,-1.0,0.2,AG-GBL0CE,V__EGBLO012
RURI,2026-03-22,24,2026-03-22T11:35:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-03-22,20,2026-03-22T09:43:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-03-22,19,2026-03-22T09:03:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-03-21,48,2026-03-21T23:42:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-03-21,45,2026-03-21T22:09:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-03-20,24,2026-03-20T11:42:00Z,49.9,,,,,WOLVB-1,E_WOLVB-1
RURI,2026-03-20,23,2026-03-20T11:11:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-03-20,7,2026-03-20T03:05:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-03-19,23,2026-03-19T11:14:00Z,30.0,,,,,NTAWB-1,E_NTAWB-1
RURI,2026-03-31,12,2026-03-31T04:42:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-03-31,12,2026-03-31T04:41:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-03-29,5,2026-03-29T02:27:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-03-27,22,2026-03-27T10:58:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-03-27,14,2026-03-27T06:58:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-03-27,14,2026-03-27T06:56:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-03-27,14,2026-03-27T06:54:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
RURI,2026-03-27,13,2026-03-27T06:08:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-2,T_FOYE-2
RURI,2026-04-07,26,2026-04-07T11:33:00Z,156.0,-155.0,156.0,-100.0,156.0,FOYE-1,T_FOYE-1
