Dataset,StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
MID,2026-01-05T17:30:00Z,APXMIDP,2026-01-05,36,223.09,6554.200
MID,2026-01-05T17:30:00Z,N2EXMIDP,2026-01-05,36,0.00,0.000
MID,2026-01-05T17:00:00Z,APXMIDP,2026-01-05,35,205.37,6610.200
MID,2026-01-05T17:00:00Z,N2EXMIDP,2026-01-05,35,0.00,0.000
MID,2026-01-05T16:30:00Z,APXMIDP,2026-01-05,34,191.09,6112.050
MID,2026-01-05T16:30:00Z,N2EXMIDP,2026-01-05,34,0.00,0.000
MID,2026-01-05T16:00:00Z,APXMIDP,2026-01-05,33,159.36,6009.350
MID,2026-01-05T16:00:00Z,N2EXMIDP,2026-01-05,33,0.00,0.000
MID,2026-01-05T15:30:00Z,APXMIDP,2026-01-05,32,156.22,5810.450
MID,2026-01-05T15:30:00Z,N2EXMIDP,2026-01-05,32,0.00,0.000
MID,2026-01-05T15:00:00Z,APXMIDP,2026-01-05,31,144.35,6178.450
MID,2026-01-05T15:00:00Z,N2EXMIDP,2026-01-05,31,0.00,0.000
MID,2026-01-05T14:30:00Z,APXMIDP,2026-01-05,30,117.16,4972.700
MID,2026-01-05T14:30:00Z,N2EXMIDP,2026-01-05,30,0.00,0.000
MID,2026-01-05T14:00:00Z,APXMIDP,2026-01-05,29,109.14,4647.450
MID,2026-01-05T14:00:00Z,N2EXMIDP,2026-01-05,29,0.00,0.000
MID,2026-01-05T13:30:00Z,APXMIDP,2026-01-05,28,108.07,5092.950
MID,2026-01-05T13:30:00Z,N2EXMIDP,2026-01-05,28,0.00,0.000
MID,2026-01-05T13:00:00Z,APXMIDP,2026-01-05,27,109.76,5142.500
MID,2026-01-05T13:00:00Z,N2EXMIDP,2026-01-05,27,0.00,0.000
MID,2026-01-05T12:30:00Z,APXMIDP,2026-01-05,26,114.79,5048.900
MID,2026-01-05T12:30:00Z,N2EXMIDP,2026-01-05,26,0.00,0.000
MID,2026-01-05T12:00:00Z,APXMIDP,2026-01-05,25,116.37,5034.350
MID,2026-01-05T12:00:00Z,N2EXMIDP,2026-01-05,25,0.00,0.000
MID,2026-01-05T11:30:00Z,APXMIDP,2026-01-05,24,122.45,4019.300
MID,2026-01-05T11:30:00Z,N2EXMIDP,2026-01-05,24,0.00,0.000
MID,2026-01-05T11:00:00Z,APXMIDP,2026-01-05,23,126.07,3738.250
MID,2026-01-05T11:00:00Z,N2EXMIDP,2026-01-05,23,0.00,0.000
MID,2026-01-05T10:30:00Z,APXMIDP,2026-01-05,22,121.45,3517.050
MID,2026-01-05T10:30:00Z,N2EXMIDP,2026-01-05,22,0.00,0.000
MID,2026-01-05T10:00:00Z,APXMIDP,2026-01-05,21,119.77,3617.400
MID,2026-01-05T10:00:00Z,N2EXMIDP,2026-01-05,21,0.00,0.000
MID,2026-01-05T09:30:00Z,APXMIDP,2026-01-05,20,121.71,3450.500
MID,2026-01-05T09:30:00Z,N2EXMIDP,2026-01-05,20,0.00,0.000
MID,2026-01-05T09:00:00Z,APXMIDP,2026-01-05,19,118.13,3671.100
MID,2026-01-05T09:00:00Z,N2EXMIDP,2026-01-05,19,0.00,0.000
MID,2026-01-05T08:30:00Z,APXMIDP,2026-01-05,18,133.33,3532.400
MID,2026-01-05T08:30:00Z,N2EXMIDP,2026-01-05,18,0.00,0.000
MID,2026-01-05T08:00:00Z,APXMIDP,2026-01-05,17,129.95,3520.050
MID,2026-01-05T08:00:00Z,N2EXMIDP,2026-01-05,17,0.00,0.000
MID,2026-01-05T07:30:00Z,APXMIDP,2026-01-05,16,130.15,3204.350
MID,2026-01-05T07:30:00Z,N2EXMIDP,2026-01-05,16,0.00,0.000
MID,2026-01-05T07:00:00Z,APXMIDP,2026-01-05,15,111.20,2674.900
MID,2026-01-05T07:00:00Z,N2EXMIDP,2026-01-05,15,0.00,0.000
MID,2026-01-05T06:30:00Z,APXMIDP,2026-01-05,14,95.29,2381.000
MID,2026-01-05T06:30:00Z,N2EXMIDP,2026-01-05,14,0.00,0.000
MID,2026-01-05T06:00:00Z,APXMIDP,2026-01-05,13,83.92,1802.100
MID,2026-01-05T06:00:00Z,N2EXMIDP,2026-01-05,13,0.00,0.000
MID,2026-01-05T05:30:00Z,APXMIDP,2026-01-05,12,79.33,2451.250
MID,2026-01-05T05:30:00Z,N2EXMIDP,2026-01-05,12,0.00,0.000
MID,2026-01-05T05:00:00Z,APXMIDP,2026-01-05,11,84.58,1917.250
MID,2026-01-05T05:00:00Z,N2EXMIDP,2026-01-05,11,0.00,0.000
MID,2026-01-05T04:30:00Z,APXMIDP,2026-01-05,10,76.49,2171.450
MID,2026-01-05T04:30:00Z,N2EXMIDP,2026-01-05,10,0.00,0.000
MID,2026-01-05T04:00:00Z,APXMIDP,2026-01-05,9,79.60,2245.750
MID,2026-01-05T04:00:00Z,N2EXMIDP,2026-01-05,9,0.00,0.000
MID,2026-01-05T03:30:00Z,APXMIDP,2026-01-05,8,79.15,2387.300
MID,2026-01-05T03:30:00Z,N2EXMIDP,2026-01-05,8,0.00,0.000
MID,2026-01-05T03:00:00Z,APXMIDP,2026-01-05,7,80.69,2199.750
MID,2026-01-05T03:00:00Z,N2EXMIDP,2026-01-05,7,0.00,0.000
MID,2026-01-05T02:30:00Z,APXMIDP,2026-01-05,6,79.61,2316.300
MID,2026-01-05T02:30:00Z,N2EXMIDP,2026-01-05,6,0.00,0.000
MID,2026-01-05T02:00:00Z,APXMIDP,2026-01-05,5,81.00,2238.800
MID,2026-01-05T02:00:00Z,N2EXMIDP,2026-01-05,5,0.00,0.000
MID,2026-01-05T01:30:00Z,APXMIDP,2026-01-05,4,80.14,1741.500
MID,2026-01-05T01:30:00Z,N2EXMIDP,2026-01-05,4,0.00,0.000
MID,2026-01-05T01:00:00Z,APXMIDP,2026-01-05,3,83.40,1918.950
MID,2026-01-05T01:00:00Z,N2EXMIDP,2026-01-05,3,0.00,0.000
MID,2026-01-05T00:30:00Z,APXMIDP,2026-01-05,2,79.36,1627.200
MID,2026-01-05T00:30:00Z,N2EXMIDP,2026-01-05,2,0.00,0.000
MID,2026-01-05T00:00:00Z,APXMIDP,2026-01-05,1,74.22,1424.150
MID,2026-01-05T00:00:00Z,N2EXMIDP,2026-01-05,1,0.00,0.000
MID,2026-01-04T23:30:00Z,APXMIDP,2026-01-04,48,73.46,1803.300
MID,2026-01-04T23:30:00Z,N2EXMIDP,2026-01-04,48,0.00,0.000
MID,2026-01-04T23:00:00Z,APXMIDP,2026-01-04,47,75.88,1679.850
MID,2026-01-04T23:00:00Z,N2EXMIDP,2026-01-04,47,0.00,0.000
MID,2026-01-04T22:30:00Z,APXMIDP,2026-01-04,46,82.29,3357.350
MID,2026-01-04T22:30:00Z,N2EXMIDP,2026-01-04,46,0.00,0.000
MID,2026-01-04T22:00:00Z,APXMIDP,2026-01-04,45,84.60,2964.650
MID,2026-01-04T22:00:00Z,N2EXMIDP,2026-01-04,45,0.00,0.000
MID,2026-01-04T21:30:00Z,APXMIDP,2026-01-04,44,87.22,2778.550
MID,2026-01-04T21:30:00Z,N2EXMIDP,2026-01-04,44,0.00,0.000
MID,2026-01-04T21:00:00Z,APXMIDP,2026-01-04,43,90.00,2733.650
