PublishTime,StartTime,SettlementDate,SettlementPeriod,InitialDemandOutturn,InitialTransmissionSystemDemandOutturn
2026-06-01T13:00:00Z,2026-06-01T12:30:00Z,2026-06-01,28,24881,26412
2026-06-01T13:30:00Z,2026-06-01T13:00:00Z,2026-06-01,29,24967,26498
2026-06-01T14:00:00Z,2026-06-01T13:30:00Z,2026-06-01,30,25591,27092
2026-06-01T14:30:00Z,2026-06-01T14:00:00Z,2026-06-01,31,25250,26517
2026-06-01T15:00:00Z,2026-06-01T14:30:00Z,2026-06-01,32,25928,27033
2026-06-01T15:30:00Z,2026-06-01T15:00:00Z,2026-06-01,33,27311,28386
2026-06-01T16:00:00Z,2026-06-01T15:30:00Z,2026-06-01,34,28279,29536
2026-06-01T16:30:00Z,2026-06-01T16:00:00Z,2026-06-01,35,28933,30266
2026-06-01T17:00:00Z,2026-06-01T16:30:00Z,2026-06-01,36,29216,30736
2026-06-01T17:30:00Z,2026-06-01T17:00:00Z,2026-06-01,37,28906,32597
2026-06-01T18:00:00Z,2026-06-01T17:30:00Z,2026-06-01,38,28680,32699
2026-06-01T18:30:00Z,2026-06-01T18:00:00Z,2026-06-01,39,28209,33185
2026-06-01T19:00:00Z,2026-06-01T18:30:00Z,2026-06-01,40,27993,33122
2026-06-01T19:30:00Z,2026-06-01T19:00:00Z,2026-06-01,41,27740,32599
2026-06-01T20:00:00Z,2026-06-01T19:30:00Z,2026-06-01,42,27336,32264
2026-06-01T20:30:00Z,2026-06-01T20:00:00Z,2026-06-01,43,27352,31858
2026-06-01T21:00:00Z,2026-06-01T20:30:00Z,2026-06-01,44,26636,31202
2026-06-01T21:30:00Z,2026-06-01T21:00:00Z,2026-06-01,45,25830,30505
2026-06-01T22:00:00Z,2026-06-01T21:30:00Z,2026-06-01,46,24785,29453
2026-06-01T22:30:00Z,2026-06-01T22:00:00Z,2026-06-01,47,23560,28209
2026-06-01T23:00:00Z,2026-06-01T22:30:00Z,2026-06-01,48,22453,27066
2026-06-01T23:30:00Z,2026-06-01T23:00:00Z,2026-06-02,1,22359,25733
2026-06-02T00:00:00Z,2026-06-01T23:30:00Z,2026-06-02,2,21476,24911
2026-06-02T00:30:00Z,2026-06-02T00:00:00Z,2026-06-02,3,21568,24677
2026-06-02T01:00:00Z,2026-06-02T00:30:00Z,2026-06-02,4,21647,24730
2026-06-02T01:30:00Z,2026-06-02T01:00:00Z,2026-06-02,5,21357,24664
2026-06-02T02:00:00Z,2026-06-02T01:30:00Z,2026-06-02,6,20650,23951
2026-06-02T02:30:00Z,2026-06-02T02:00:00Z,2026-06-02,7,20592,23447
2026-06-02T03:00:00Z,2026-06-02T02:30:00Z,2026-06-02,8,20406,23269
2026-06-02T03:30:00Z,2026-06-02T03:00:00Z,2026-06-02,9,19960,23375
2026-06-02T04:00:00Z,2026-06-02T03:30:00Z,2026-06-02,10,19696,23134
2026-06-02T04:30:00Z,2026-06-02T04:00:00Z,2026-06-02,11,19773,23473
2026-06-02T05:00:00Z,2026-06-02T04:30:00Z,2026-06-02,12,20098,23728
2026-06-02T05:30:00Z,2026-06-02T05:00:00Z,2026-06-02,13,21560,23745
2026-06-02T06:00:00Z,2026-06-02T05:30:00Z,2026-06-02,14,22685,24822
2026-06-02T06:30:00Z,2026-06-02T06:00:00Z,2026-06-02,15,24810,26876
2026-06-02T07:00:00Z,2026-06-02T06:30:00Z,2026-06-02,16,26132,28191
2026-06-02T07:30:00Z,2026-06-02T07:00:00Z,2026-06-02,17,26514,28502
2026-06-02T08:00:00Z,2026-06-02T07:30:00Z,2026-06-02,18,25367,27226
2026-06-02T08:30:00Z,2026-06-02T08:00:00Z,2026-06-02,19,25634,27339
2026-06-02T09:00:00Z,2026-06-02T08:30:00Z,2026-06-02,20,25000,26549
2026-06-02T09:30:00Z,2026-06-02T09:00:00Z,2026-06-02,21,24234,25810
2026-06-02T10:00:00Z,2026-06-02T09:30:00Z,2026-06-02,22,23996,25536
2026-06-02T10:30:00Z,2026-06-02T10:00:00Z,2026-06-02,23,23900,25148
2026-06-02T11:00:00Z,2026-06-02T10:30:00Z,2026-06-02,24,23107,24064
2026-06-02T11:30:00Z,2026-06-02T11:00:00Z,2026-06-02,25,22981,23896
2026-06-02T12:00:00Z,2026-06-02T11:30:00Z,2026-06-02,26,21882,22652
2026-06-02T12:30:00Z,2026-06-02T12:00:00Z,2026-06-02,27,21584,22226
2026-06-02T13:00:00Z,2026-06-02T12:30:00Z,2026-06-02,28,21961,22617
2026-06-02T13:30:00Z,2026-06-02T13:00:00Z,2026-06-02,29,21990,22585
2026-06-02T14:00:00Z,2026-06-02T13:30:00Z,2026-06-02,30,21543,22079
2026-06-02T14:30:00Z,2026-06-02T14:00:00Z,2026-06-02,31,20783,21300
2026-06-02T15:00:00Z,2026-06-02T14:30:00Z,2026-06-02,32,22373,22891
2026-06-02T15:30:00Z,2026-06-02T15:00:00Z,2026-06-02,33,22841,23355
2026-06-02T16:00:00Z,2026-06-02T15:30:00Z,2026-06-02,34,23511,24025
2026-06-02T16:30:00Z,2026-06-02T16:00:00Z,2026-06-02,35,24718,25882
2026-06-02T17:00:00Z,2026-06-02T16:30:00Z,2026-06-02,36,25566,26981
2026-06-02T17:30:00Z,2026-06-02T17:00:00Z,2026-06-02,37,26103,28169
2026-06-02T18:00:00Z,2026-06-02T17:30:00Z,2026-06-02,38,26362,28674
2026-06-02T18:30:00Z,2026-06-02T18:00:00Z,2026-06-02,39,26948,29081
2026-06-02T19:00:00Z,2026-06-02T18:30:00Z,2026-06-02,40,26897,29270
2026-06-02T19:30:00Z,2026-06-02T19:00:00Z,2026-06-02,41,26926,29148
2026-06-02T20:00:00Z,2026-06-02T19:30:00Z,2026-06-02,42,26587,29012
2026-06-02T20:30:00Z,2026-06-02T20:00:00Z,2026-06-02,43,26791,28718
2026-06-02T21:00:00Z,2026-06-02T20:30:00Z,2026-06-02,44,26663,28717
2026-06-02T21:30:00Z,2026-06-02T21:00:00Z,2026-06-02,45,25875,28034
2026-06-02T22:00:00Z,2026-06-02T21:30:00Z,2026-06-02,46,24956,27091
2026-06-02T22:30:00Z,2026-06-02T22:00:00Z,2026-06-02,47,23109,25122
2026-06-02T23:00:00Z,2026-06-02T22:30:00Z,2026-06-02,48,21923,23939
2026-06-02T23:30:00Z,2026-06-02T23:00:00Z,2026-06-03,1,21446,23382
2026-06-03T00:00:00Z,2026-06-02T23:30:00Z,2026-06-03,2,21320,23038
2026-06-03T00:30:00Z,2026-06-03T00:00:00Z,2026-06-03,3,20973,22701
2026-06-03T01:00:00Z,2026-06-03T00:30:00Z,2026-06-03,4,21314,22889
2026-06-03T01:30:00Z,2026-06-03T01:00:00Z,2026-06-03,5,20752,22406
2026-06-03T02:00:00Z,2026-06-03T01:30:00Z,2026-06-03,6,19619,21270
2026-06-03T02:30:00Z,2026-06-03T02:00:00Z,2026-06-03,7,19898,21264
2026-06-03T03:00:00Z,2026-06-03T02:30:00Z,2026-06-03,8,19504,20614
2026-06-03T03:30:00Z,2026-06-03T03:00:00Z,2026-06-03,9,19102,19936
2026-06-03T04:00:00Z,2026-06-03T03:30:00Z,2026-06-03,10,18969,19546
2026-06-03T04:30:00Z,2026-06-03T04:00:00Z,2026-06-03,11,19280,20049
2026-06-03T05:00:00Z,2026-06-03T04:30:00Z,2026-06-03,12,18859,19627
2026-06-03T05:30:00Z,2026-06-03T05:00:00Z,2026-06-03,13,20604,21215
2026-06-03T06:00:00Z,2026-06-03T05:30:00Z,2026-06-03,14,21785,22408
2026-06-03T06:30:00Z,2026-06-03T06:00:00Z,2026-06-03,15,23736,24345
2026-06-03T07:00:00Z,2026-06-03T06:30:00Z,2026-06-03,16,24550,25447
2026-06-03T07:30:00Z,2026-06-03T07:00:00Z,2026-06-03,17,25183,25952
2026-06-03T08:00:00Z,2026-06-03T07:30:00Z,2026-06-03,18,25550,26279
2026-06-03T08:30:00Z,2026-06-03T08:00:00Z,2026-06-03,19,26331,26879
2026-06-03T09:00:00Z,2026-06-03T08:30:00Z,2026-06-03,20,26286,26806
2026-06-03T09:30:00Z,2026-06-03T09:00:00Z,2026-06-03,21,26250,26768
2026-06-03T10:00:00Z,2026-06-03T09:30:00Z,2026-06-03,22,26185,26702
2026-06-03T10:30:00Z,2026-06-03T10:00:00Z,2026-06-03,23,26110,26730
2026-06-03T11:00:00Z,2026-06-03T10:30:00Z,2026-06-03,24,25701,26532
2026-06-03T11:30:00Z,2026-06-03T11:00:00Z,2026-06-03,25,24898,25899
2026-06-03T12:00:00Z,2026-06-03T11:30:00Z,2026-06-03,26,24172,25646
2026-06-03T12:30:00Z,2026-06-03T12:00:00Z,2026-06-03,27,23324,24986
2026-06-03T13:00:00Z,2026-06-03T12:30:00Z,2026-06-03,28,22451,24118
2026-06-03T13:30:00Z,2026-06-03T13:00:00Z,2026-06-03,29,21394,23260
2026-06-03T14:00:00Z,2026-06-03T13:30:00Z,2026-06-03,30,20889,22851
2026-06-03T14:30:00Z,2026-06-03T14:00:00Z,2026-06-03,31,20415,22982
2026-06-03T15:00:00Z,2026-06-03T14:30:00Z,2026-06-03,32,21094,23595
2026-06-03T15:30:00Z,2026-06-03T15:00:00Z,2026-06-03,33,21989,23866
2026-06-03T16:00:00Z,2026-06-03T15:30:00Z,2026-06-03,34,22441,23828
2026-06-03T16:30:00Z,2026-06-03T16:00:00Z,2026-06-03,35,23327,24645
2026-06-03T17:00:00Z,2026-06-03T16:30:00Z,2026-06-03,36,24588,25910
2026-06-03T17:30:00Z,2026-06-03T17:00:00Z,2026-06-03,37,24812,26361
2026-06-03T18:00:00Z,2026-06-03T17:30:00Z,2026-06-03,38,25425,26998
2026-06-03T18:30:00Z,2026-06-03T18:00:00Z,2026-06-03,39,26111,28029
2026-06-03T19:00:00Z,2026-06-03T18:30:00Z,2026-06-03,40,26679,28597
2026-06-03T19:30:00Z,2026-06-03T19:00:00Z,2026-06-03,41,26185,27719
2026-06-03T20:00:00Z,2026-06-03T19:30:00Z,2026-06-03,42,25824,27242
2026-06-03T20:30:00Z,2026-06-03T20:00:00Z,2026-06-03,43,25678,26344
2026-06-03T21:00:00Z,2026-06-03T20:30:00Z,2026-06-03,44,25081,25829
2026-06-03T21:30:00Z,2026-06-03T21:00:00Z,2026-06-03,45,24089,25048
2026-06-03T22:00:00Z,2026-06-03T21:30:00Z,2026-06-03,46,22908,23829
2026-06-03T22:30:00Z,2026-06-03T22:00:00Z,2026-06-03,47,21543,22655
2026-06-03T23:00:00Z,2026-06-03T22:30:00Z,2026-06-03,48,20945,22569
