Year,CalendarWeekNumber,Dataset,PublishTime,FuelType,NgcBmUnit,BmUnit,OutputUsable
2026,38,FOU2T3YW,2026-06-26T15:00:00Z,INTIFA2,,,1000
2026,38,FOU2T3YW,2026-06-26T15:00:00Z,INTIRL,,,500
2026,38,FOU2T3YW,2026-06-26T15:00:00Z,INTNED,,,1000
2026,38,FOU2T3YW,2026-06-26T15:00:00Z,INTNEM,,,1000
2026,38,FOU2T3YW,2026-06-26T15:00:00Z,INTNSL,,,1400
2026,38,FOU2T3YW,2026-06-26T15:00:00Z,INTVKL,,,1400
2026,38,FOU2T3YW,2026-06-26T15:00:00Z,NPSHYD,,,918
2026,38,FOU2T3YW,2026-06-26T15:00:00Z,NUCLEAR,,,5523
2026,38,FOU2T3YW,2026-06-26T15:00:00Z,OCGT,,,1140
2026,38,FOU2T3YW,2026-06-26T15:00:00Z,OTHER,,,2903
2026,38,FOU2T3YW,2026-06-26T15:00:00Z,PS,,,1336
2026,38,FOU2T3YW,2026-06-26T15:00:00Z,WIND,,,9302
2026,39,FOU2T3YW,2026-06-26T15:00:00Z,WIND,,,10379
2026,39,FOU2T3YW,2026-06-26T15:00:00Z,PS,,,1576
2026,39,FOU2T3YW,2026-06-26T15:00:00Z,OTHER,,,3003
2026,39,FOU2T3YW,2026-06-26T15:00:00Z,OCGT,,,1278
2026,39,FOU2T3YW,2026-06-26T15:00:00Z,NUCLEAR,,,5523
2026,39,FOU2T3YW,2026-06-26T15:00:00Z,NPSHYD,,,997
2026,39,FOU2T3YW,2026-06-26T15:00:00Z,INTVKL,,,1400
2026,39,FOU2T3YW,2026-06-26T15:00:00Z,INTNSL,,,1400
2026,39,FOU2T3YW,2026-06-26T15:00:00Z,INTNEM,,,0
2026,39,FOU2T3YW,2026-06-26T15:00:00Z,INTNED,,,1000
2026,39,FOU2T3YW,2026-06-26T15:00:00Z,INTIRL,,,500
2026,39,FOU2T3YW,2026-06-26T15:00:00Z,INTIFA2,,,1000
2026,39,FOU2T3YW,2026-06-26T15:00:00Z,INTGRNL,,,504
2026,39,FOU2T3YW,2026-06-26T15:00:00Z,INTFR,,,1000
2026,39,FOU2T3YW,2026-06-26T15:00:00Z,INTEW,,,500
2026,39,FOU2T3YW,2026-06-26T15:00:00Z,INTELEC,,,1000
2026,39,FOU2T3YW,2026-06-26T15:00:00Z,COAL,,,0
2026,39,FOU2T3YW,2026-06-26T15:00:00Z,CCGT,,,24151
2026,39,FOU2T3YW,2026-06-26T15:00:00Z,BIOMASS,,,3505
2026,40,FOU2T3YW,2026-06-26T15:00:00Z,WIND,,,13355
2026,40,FOU2T3YW,2026-06-26T15:00:00Z,PS,,,1726
2026,40,FOU2T3YW,2026-06-26T15:00:00Z,OTHER,,,3003
2026,40,FOU2T3YW,2026-06-26T15:00:00Z,OCGT,,,979
2026,40,FOU2T3YW,2026-06-26T15:00:00Z,NUCLEAR,,,5523
2026,40,FOU2T3YW,2026-06-26T15:00:00Z,NPSHYD,,,1030
2026,40,FOU2T3YW,2026-06-26T15:00:00Z,INTVKL,,,1400
2026,40,FOU2T3YW,2026-06-26T15:00:00Z,INTNSL,,,1400
2026,40,FOU2T3YW,2026-06-26T15:00:00Z,INTNEM,,,1000
2026,40,FOU2T3YW,2026-06-26T15:00:00Z,INTNED,,,1000
2026,40,FOU2T3YW,2026-06-26T15:00:00Z,INTIRL,,,500
2026,40,FOU2T3YW,2026-06-26T15:00:00Z,INTIFA2,,,1000
2026,40,FOU2T3YW,2026-06-26T15:00:00Z,INTGRNL,,,504
2026,40,FOU2T3YW,2026-06-26T15:00:00Z,INTFR,,,2000
